year,country,track,genre_count,popularity,genres,has_eurovision,has_only_eurovision,year_country
2011,Slovakia,I´m Still Alive - Radio Edit,0,20,,0,0,2011-Slovakia
2011,Croatia,Celebrate,1,16,croatian pop,0,0,2011-Croatia
2011,Latvia,Angel In Disguise,1,19,latvian pop,0,0,2011-Latvia
2011,Lithuania,C'est Ma Vie,0,13,,0,0,2011-Lithuania
2011,Israel,Ding Dong (Eurovision 2011 - Israel),2,0,eurovision$$$israeli pop,1,0,2011-Israel
2012,Sweden,Euphoria,4,59,electropop$$$europop$$$eurovision$$$swedish pop,1,0,2012-Sweden
2012,Russia,Party for Everybody (Original Radio Edit),0,35,,0,0,2012-Russia
2012,Serbia & Montenegro,Nije Ljubav Stvar - Su Amor Me Vencio,3,25,eurovision$$$turbo folk$$$yugoslav rock,1,0,2012-Serbia & Montenegro
2012,Azerbaijan,When the music dies,2,31,azeri pop$$$eurovision,1,0,2012-Azerbaijan
2012,Turkey,Love Me Back,3,55,eurovision$$$turkish pop$$$turkish rock,1,0,2012-Turkey
2012,Cyrpus,La La Love,4,47,cypriot pop$$$eurovision$$$greek pop$$$laiko,1,0,2012-Cyrpus
2012,Germany,Standing Still,0,0,,0,0,2012-Germany
2012,Albania,Suus,3,26,albanian pop$$$eurovision$$$kosovan pop,1,0,2012-Albania
2012,North Macedonia,Crno I Belo - Eurovision 2012 - F.Y.R. Macedonia,2,0,eurovision$$$macedonian pop,1,0,2012-North Macedonia
2012,Italy,L'Amore E' Femmina (Out Of Love) - English Version,1,28,italian pop,0,0,2012-Italy
2012,Romania,Zaleilah - Eurovision Version,2,26,eurovision$$$romanian pop,1,0,2012-Romania
2012,Spain,Quédate conmigo - Versión Baku,4,45,latin arena pop$$$latin pop$$$spanish pop$$$spanish pop rock,0,0,2012-Spain
2012,Estonia,Kuula,2,30,estonian pop$$$eurovision,1,0,2012-Estonia
2012,Iceland,Never Forget,1,28,eurovision,1,1,2012-Iceland
2012,Moldova,Lautar,2,27,eurovision$$$moldovan pop,1,0,2012-Moldova
2012,France,Echo (You and I),2,0,indonesian pop$$$indonesian rock,0,0,2012-France
2012,Ireland,Waterline,1,26,eurovision,1,1,2012-Ireland
2012,United Kingdom,Love Will Set You Free,4,22,adult standards$$$brill building pop$$$easy listening$$$lounge,0,0,2012-United Kingdom
2012,Norway,Stay,1,0,eurovision,1,1,2012-Norway
2012,Denmark,Should´ve Known Better,1,31,eurovision,1,1,2012-Denmark
2012,Israel,Time,1,23,eurovision,1,1,2012-Israel
2012,Malta,This Is The Night - Eurovision 2012 - Malta,2,0,eurovision$$$maltese pop,1,0,2012-Malta
2012,Belarus,We Are the Heroes,1,22,eurovision,1,1,2012-Belarus
2012,Greece,Aphrodisiac,3,37,cypriot pop$$$eurovision$$$greek pop,1,0,2012-Greece
2012,Switzerland,Unbreakable,2,18,eurovision$$$swiss rock,1,0,2012-Switzerland
2012,Bulgaria,Love unlimited,3,28,bulgarian pop$$$chalga$$$eurovision,1,0,2012-Bulgaria
2012,Bosnia & Herzegovina,Korake Ti Znam - Eurosong 2012,1,23,eurovision,1,1,2012-Bosnia & Herzegovina
2012,Hungary,Sound of Our Hearts,2,23,eurovision$$$hungarian pop,1,0,2012-Hungary
2012,Austria,Woki mit deim Popo,1,29,eurovision,1,1,2012-Austria
2012,Netherlands,You and Me,1,29,eurovision,1,1,2012-Netherlands
2012,Portugal,Vida Minha - Radio Edit,1,20,eurovision,1,1,2012-Portugal
2012,Croatia,Nebo,3,20,croatian pop$$$eurovision$$$yugoslav rock,1,0,2012-Croatia
2012,Lithuania,Love Is Blind,1,0,lithuanian pop,0,0,2012-Lithuania
2012,Verjamem,Verjamem,1,20,eurovision,1,1,2012-Verjamem
2012,San Marino,The Social Network Song (oh ohuhoh oh),1,21,eurovision,1,1,2012-San Marino
2013,Denmark,Only Teardrops,1,54,eurovision,1,1,2013-Denmark
2013,Azerbaijan,Hold me - Full Version,1,33,azeri pop,0,0,2013-Azerbaijan
2013,Ukraine,Gravity,2,35,eurovision$$$ukrainian pop,1,0,2013-Ukraine
2013,Norway,I Feed You My Love,2,34,electropop$$$norwegian pop,0,0,2013-Norway
2013,Russia,What If,1,31,eurovision,1,1,2013-Russia
2013,Italy,L'essenziale,3,53,italian arena pop$$$italian pop$$$italian pop rock,0,0,2013-Italy
2013,Netherlands,Birds,3,0,dutch indie$$$dutch pop$$$dutch rock,0,0,2013-Netherlands
2013,Hungary,Kedvesem - Zoohacker Remix,1,23,magyar alternative,0,0,2013-Hungary
2013,Sweden,You,2,43,europop$$$swedish pop,0,0,2013-Sweden
2013,Romania,It's My Life,0,32,,0,0,2013-Romania
2013,Malta,Tomorrow,0,24,,0,0,2013-Malta
2013,Moldova,O Mie,2,28,eurovision$$$moldovan pop,1,0,2013-Moldova
2013,Belgium,Love Kills,2,34,belgian pop$$$eurovision,1,0,2013-Belgium
2013,Germany,Glorious - Video Edit,7,29,bubblegum dance$$$dance pop$$$eurodance$$$europop$$$german techno$$$melbourne bounce international$$$pop rap,0,0,2013-Germany
2013,Ireland,Only Love Survives,1,24,eurovision,1,1,2013-Ireland
2013,Iceland,Eg a Lif (Icelandic Esc Entry 2013),0,32,,0,0,2013-Iceland
2013,France,L'enfer et moi,1,25,french pop,0,0,2013-France
2013,Spain,Contigo hasta el final,4,34,latin arena pop$$$latin pop$$$spanish pop$$$spanish pop rock,0,0,2013-Spain
2013,Albania,Identitet,0,15,,0,0,2013-Albania
2013,Greece,Alcohol Is Free - Radio Edit,0,0,,0,0,2013-Greece
2013,Finland,Marry Me,2,35,eurovision$$$finnish pop,1,0,2013-Finland
2013,Bulgaria,Само Шампиони,0,20,,0,0,2013-Bulgaria
2013,Croatia,Mižerja - Eurovision 2013 - Croatia,0,0,,0,0,2013-Croatia
2013,Macedonia,Pred da Se Razdeni (feat. Esma Redzepova),1,20,macedonian pop,0,0,2013-Macedonia
2013,Lithuania,Something,0,20,,0,0,2013-Lithuania
2013,Austria,Shine,1,21,eurovision,1,1,2013-Austria
2013,Estonia,Et Uus Saaks Alguse,1,27,estonian pop,0,0,2013-Estonia
2013,Israel,Rak Bishvilo,0,26,,0,0,2013-Israel
2013,Belarus,Solayoh,2,27,belarusian pop$$$eurovision,1,0,2013-Belarus
2013,Cyprus,An Me Thimasai,0,15,,0,0,2013-Cyprus
2013,Switzerland,You And Me,0,23,,0,0,2013-Switzerland
2013,Latvia,Here We Go,0,12,,0,0,2013-Latvia
2013,San Marino,Crisalide (Vola) - Original-ESC-Version,1,28,eurovision,1,1,2013-San Marino
2013,Bonus,We Write The Story - Edited Version,4,20,big room$$$dance pop$$$edm$$$pop,0,0,2013-Bonus
2013,United Kingdom,Believe In Me - Eurovision 2013 - United Kingdom,4,0,europop$$$mellow gold$$$new wave pop$$$soft rock,0,0,2013-United Kingdom
2013,Slovenia,Straight Into Love - Eurovision 2013 - Slovenia,0,0,,0,0,2013-Slovenia
2013,North Macedonia,Pred Da Se Razdeni - Eurovision 2013 - F.Y.R. Macedonia,0,0,,0,0,2013-North Macedonia
2013,Montenegro,Igranka - Eurovision 2013 - Montenegro,2,0,balkan hip hop$$$montenegrin pop,0,0,2013-Montenegro
2013,Georgia,Waterfall - Eurovision 2013 - Georgia,0,0,,0,0,2013-Georgia
2013,Armenia,Lonely Planet - Eurovision 2013 - Armenia,0,0,,0,0,2013-Armenia
2013,Serbia,Ljubav Je Svuda - Eurovision 2013 - Serbia,0,0,,0,0,2013-Serbia
2014,Austria,Rise Like A Phoenix,2,50,eurovision$$$strut,1,0,2014-Austria
2014,Netherlands,Calm After The Storm - Radio Edit,3,3,dutch americana$$$dutch pop$$$dutch rock,0,0,2014-Netherlands
2014,Armenia,Not Alone,1,37,armenian pop,0,0,2014-Armenia
2014,Sweden,Undo,4,56,classic swedish pop$$$europop$$$swedish idol pop$$$swedish pop,0,0,2014-Sweden
2014,Hungary,Running,1,0,hungarian pop,0,0,2014-Hungary
2014,Ukraine,Tick Tock,1,38,eurovision,1,1,2014-Ukraine
2014,Norway,Silent Storm,0,0,,0,0,2014-Norway
2014,Spain,Dancing in the Rain - Official Eurovision 2014 - Spain,2,40,eurovision$$$talent show,1,0,2014-Spain
2014,Romania,Miracle (Eurovision Song Contest 2014),1,0,romanian pop,0,0,2014-Romania
2014,Denmark,Cliche Love Song - Radio Edit,2,40,danish hip hop$$$danish pop,0,0,2014-Denmark
2014,Switzerland,Hunter of Stars,0,38,,0,0,2014-Switzerland
2014,Poland,Slavic Girls,1,29,polish pop,0,0,2014-Poland
2014,Malta,Coming Home,0,31,,0,0,2014-Malta
2014,Italy,La Mia Città,2,31,italian arena pop$$$italian pop,0,0,2014-Italy
2014,United Kingdom,Children of the Universe,0,36,,0,0,2014-United Kingdom
2014,Montenegro,Moj Svijet,3,31,croatian pop$$$montenegrin pop$$$turbo folk,0,0,2014-Montenegro
2014,Greece,Rise Up - Eurovision Version,0,35,,0,0,2014-Greece
2014,Azerbaijan,Start A Fire - Full Eurovision Version,1,28,azeri pop,0,0,2014-Azerbaijan
2014,Slovenia,Round and Round - Official ESC,2,27,slovenian pop$$$slovenian rock,0,0,2014-Slovenia
2014,Portugal,Quero Ser Tua,0,31,,0,0,2014-Portugal
2014,Iceland,No Predjudice,1,32,barnalog,0,0,2014-Iceland
2014,Belgium,Mother,0,23,,0,0,2014-Belgium
2014,Belarus,Cheesecake,1,32,c64,0,0,2014-Belarus
2014,Estonia,Amazing,0,31,,0,0,2014-Estonia
2014,Ireland,Heartbeat (feat. Kasey Smith),0,27,,0,0,2014-Ireland
2014,Latvia,Cake to Bake,0,26,,0,0,2014-Latvia
2014,Germany,Is It Right,0,29,,0,0,2014-Germany
2014,North Macedonia,To the sky ( Where do we go now ),1,21,macedonian pop,0,0,2014-North Macedonia
2014,France,Moustache,0,40,,0,0,2014-France
2014,Finland,Something Better,1,37,finnish idol pop,0,0,2014-Finland
2014,San Marino,Maybe - Esc Version,1,0,eurovision,1,1,2014-San Marino
2014,Bonus,Rainmaker - Official #JoinUs Song - Bonus Track,1,0,eurovision,1,1,2014-Bonus
2014,Interval,Sea of Flags,2,26,australian indigenous$$$australian pop,0,0,2014-Interval
2014,Georgia,Three Minutes To Earth - Eurovision 2014 - Georgia,0,0,,0,0,2014-Georgia
2014,Israel,Same Heart - Eurovision 2014 - Israel,0,0,,0,0,2014-Israel
2014,Albania,One Night's Anger - Eurovision 2014 - Albania,0,0,,0,0,2014-Albania
2014,Moldova,Wild Soul - Eurovision 2014 - Moldova,1,0,moldovan pop,0,0,2014-Moldova
2015,Sweden,Heroes,4,61,europop$$$eurovision$$$swedish idol pop$$$swedish pop,1,0,2015-Sweden
2015,Russia,A Million Voices,3,47,eurovision$$$russian dance pop$$$russian pop,1,0,2015-Russia
2015,Italy,Grande amore,2,36,italian progressive rock$$$operatic pop,0,0,2015-Italy
2015,Belgium,Rhythm Inside,1,53,eurovision,1,1,2015-Belgium
2015,Australia,Tonight Again,1,44,australian pop,0,0,2015-Australia
2015,Latvia,Love Injected,1,40,eurovision,1,1,2015-Latvia
2015,Estonia,Goodbye To Yesterday,1,0,eurovision,1,1,2015-Estonia
2015,Norway,A Monster Like Me (Feat. The Oslo Philharmonic Choir),1,0,eurovision,1,1,2015-Norway
2015,Israel,Golden Boy,2,49,eurovision$$$israeli pop,1,0,2015-Israel
2015,Slovenia,Here for You - Radio Edit,1,0,eurovision,1,1,2015-Slovenia
2015,Azerbaijan,Hour Of The Wolf - Eurovision 2015 - Azerbaijan,0,32,,0,0,2015-Azerbaijan
2015,Albania,Ne jete,2,0,eurovision$$$kosovan pop,1,0,2015-Albania
2015,Romania,De La Capat - Eurovision Version,3,33,eurovision$$$romanian pop$$$romanian rock,1,0,2015-Romania
2015,Cyprus,One Thing I Should Have Done - Eurovision 2015 - Cyprus,2,0,cypriot pop$$$eurovision,1,0,2015-Cyprus
2015,Greece,One Last Breath - Eurovision Version,2,0,cypriot pop$$$eurovision,1,0,2015-Greece
2015,Poland,In the Name of Love,1,26,eurovision,1,1,2015-Poland
2015,Spain,Amanecer,2,35,latin arena pop$$$spanish pop,0,0,2015-Spain
2015,Hungary,Wars For Nothing - Eurovision 2015 - Hungary,1,0,eurovision,1,1,2015-Hungary
2015,Georgia,Warrior - Eurovision 2015 - Georgia,1,37,eurovision,1,1,2015-Georgia
2015,United Kingdom,Still in Love with You,0,34,,0,0,2015-United Kingdom
2015,France,N'oubliez pas,0,0,,0,0,2015-France
2015,Austria,I Am Yours,2,30,austrian pop$$$eurovision,1,0,2015-Austria
2015,Germany,Black Smoke,1,0,eurovision,1,1,2015-Germany
2015,Lithuania,This Time,2,28,eurovision$$$lithuanian pop,1,0,2015-Lithuania
2015,North Macedonia,Autumn Leaves - Eurovision 2015 - F.Y.R. Macedonia,2,0,eurovision$$$macedonian pop,1,0,2015-North Macedonia
2015,Belarus,Time - Eurovision Song Contest 2015,2,2,belarusian pop$$$eurovision,1,0,2015-Belarus
2015,Switzerland,Time to Shine,0,25,,0,0,2015-Switzerland
2015,Ireland,Playing With Numbers,0,0,,0,0,2015-Ireland
2015,Iceland,Unbroken,0,30,,0,0,2015-Iceland
2015,Denmark,The Way You Are,0,0,,0,0,2015-Denmark
2015,Moldova,I Want Your Love,2,0,eurovision$$$moldovan pop,1,0,2015-Moldova
2015,Netherlands,Walk Along,2,23,dutch pop$$$dutch rock,0,0,2015-Netherlands
2015,Finland,Aina mun pitää,1,22,finnish punk,0,0,2015-Finland
2015,Montenegro,Adio,0,31,,0,0,2015-Montenegro
2015,San Marino,Chain of Lights - ESC Version,0,0,,0,0,2015-San Marino
2015,Serbia,Beauty Never Lies - Eurovision 2015 - Serbia,1,0,eurovision,1,1,2015-Serbia
2015,Czech Republic,Hope Never Dies - Eurovision 2015 - Czech Republic,1,0,eurovision,1,1,2015-Czech Republic
2015,Armenia,Face The Shadow - Eurovision 2015 / Armenia,1,0,eurovision,1,1,2015-Armenia
2015,Malta,Warrior - Eurovision 2015 - Malta,1,0,eurovision,1,1,2015-Malta
2015,Portugal,Há Um Mar Que Nos Separa - Eurovision 2015 - Portugal,2,0,eurovision$$$portuguese pop,1,0,2015-Portugal
2016,Ukraine,1944,5,50,eurovision$$$tatar pop$$$ukrainian indie$$$ukrainian pop$$$ukrainian rock,1,0,2016-Ukraine
2016,Australia,Sound of Silence,4,50,australian pop$$$australian talent show$$$eurovision$$$talent show,1,0,2016-Australia
2016,Russia,You are the only one,3,44,eurovision$$$russian dance pop$$$russian pop,1,0,2016-Russia
2016,Bulgaria,If Love Was a Crime - Eurovision 2016 - Bulgaria,1,46,eurovision,1,1,2016-Bulgaria
2016,Sweden,If I Were Sorry,1,56,swedish idol pop,0,0,2016-Sweden
2016,Armenia,LoveWave - Eurovision 2016 - Armenia,3,38,armenian folk$$$armenian pop$$$eurovision,1,0,2016-Armenia
2016,France,J'ai cherché,3,45,eurovision$$$francoton$$$french pop,1,0,2016-France
2016,Austria,Loin d'ici (Esc Version),1,0,eurovision,1,1,2016-Austria
2016,Netherlands,Slow Down,4,1,dutch americana$$$dutch indie$$$dutch pop$$$dutch rock,0,0,2016-Netherlands
2016,Belgium,What's the Pressure,1,0,belgian pop,0,0,2016-Belgium
2016,Latvia,Heartbeat,1,40,eurovision,1,1,2016-Latvia
2016,Lithuania,I've Been Waiting for This Night,2,0,eurovision$$$lithuanian pop,1,0,2016-Lithuania
2016,Azerbaijan,Miracle - Eurovision 2016,2,36,azeri pop$$$eurovision,1,0,2016-Azerbaijan
2016,Israel,Made of Stars,1,37,eurovision,1,1,2016-Israel
2016,Czech Republic,I Stand,2,36,czech pop$$$eurovision,1,0,2016-Czech Republic
2016,Cyprus,Alter Ego,0,37,,0,0,2016-Cyprus
2016,Croatia,Lighthouse - Eurovision 2016 - Croatia,1,0,eurovision,1,1,2016-Croatia
2016,Iceland,Hear Them Calling,2,35,eurovision$$$icelandic pop,1,0,2016-Iceland
2016,Spain,Say Yay!,1,0,eurovision,1,1,2016-Spain
2016,Italy,No Degree of Separation - Eurovision Version,4,38,italian alternative$$$italian arena pop$$$italian pop$$$italian pop rock,0,0,2016-Italy
2016,United Kingdom,You're Not Alone,1,35,eurovision,1,1,2016-United Kingdom
2016,Poland,Color Of Your Life,3,37,eurovision$$$polish pop$$$talent show,1,0,2016-Poland
2016,Germany,Ghost,0,0,,0,0,2016-Germany
2016,North Macedonia,Dona,2,27,eurovision$$$macedonian pop,1,0,2016-North Macedonia
2016,Finland,Sing It Away,0,29,,0,0,2016-Finland
2016,Denmark,Soldiers Of Love,0,0,,0,0,2016-Denmark
2016,Norway,Icebreaker,0,0,,0,0,2016-Norway
2016,Estonia,Play - Eurovision 2016 - Estonia,3,32,estonian hip hop$$$estonian pop$$$eurovision,1,0,2016-Estonia
2016,Ireland,Sunlight - Eurovision 2016 - Ireland,1,0,eurovision,1,1,2016-Ireland
2016,Bosnia & Herzegovina,Ljubav Je... - Eurovision 2016 - Bosnia & Herzegovina,1,0,eurovision,1,1,2016-Bosnia & Herzegovina
2016,Switzerland,The Last of Our Kind,1,27,eurovision,1,1,2016-Switzerland
2016,Belarus,Help You Fly,0,34,,0,0,2016-Belarus
2016,Moldova,Falling Stars - Radio Edit,2,29,eurovision$$$moldovan pop,1,0,2016-Moldova
2016,Slovenia,Blue And Red - Eurovision 2016 - Slovenia,1,0,eurovision,1,1,2016-Slovenia
2016,Albania,Perralle,1,20,eurovision,1,1,2016-Albania
2016,Malta,Walk On Water,2,40,eurovision$$$maltese pop,1,0,2016-Malta
2016,Hungary,Pioneer,1,32,eurovision,1,1,2016-Hungary
2016,San Marino,I Didn't Know - Official ESC Version: San Marino 2016,1,20,eurovision,1,1,2016-San Marino
2016,Interval,Love Love Peace Peace,4,39,europop$$$eurovision$$$swedish idol pop$$$swedish pop,1,0,2016-Interval
2016,Serbia,Goodbye (Shelter) - Eurovision 2016 - Serbia,1,0,eurovision,1,1,2016-Serbia
2016,Montenegro,The Real Thing - Eurovision 2016 - Montenegro,0,0,,0,0,2016-Montenegro
2016,Georgia,Midnight Gold - Eurovision 2016 - Georgia,1,0,eurovision,1,1,2016-Georgia
2016,Greece,Utopian Land - Eurovision 2016 - Greece,3,0,broken beat$$$deep dubstep$$$eurovision,1,0,2016-Greece
2017,Portugal,Amar pelos Dois,1,53,portuguese pop,0,0,2017-Portugal
2017,Bulgaria,Beautiful Mess,1,37,eurovision,1,1,2017-Bulgaria
2017,Moldova,Hey Mamma - Radio Edit,2,0,eurovision$$$moldovan pop,1,0,2017-Moldova
2017,Belgium,City Lights,1,17,eurovision,1,1,2017-Belgium
2017,Sweden,I Can´t Go On,4,2,europop$$$eurovision$$$swedish idol pop$$$swedish pop,1,0,2017-Sweden
2017,Italy,Occidentali's Karma - Radio Edit,2,51,italian arena pop$$$italian pop,0,0,2017-Italy
2017,Romania,Yodel It!,1,0,eurovision,1,1,2017-Romania
2017,Australia,Don't Come Easy,1,47,australian pop,0,0,2017-Australia
2017,France,Requiem - Eurovision Version,1,38,eurovision,1,1,2017-France
2017,Norway,Grab the Moment,2,47,eurovision$$$norwegian pop,1,0,2017-Norway
2017,Armenia,Fly With Me,1,0,eurovision,1,1,2017-Armenia
2017,Greece,This Is Love,2,0,eurovision$$$greek pop,1,0,2017-Greece
2017,Israel,I Feel Alive,1,0,eurovision,1,1,2017-Israel
2017,Azerbaijan,Skeletons,2,41,azeri traditional$$$eurovision,1,0,2017-Azerbaijan
2017,Austria,Running On Air,1,40,eurovision,1,1,2017-Austria
2017,Germany,Perfect Life - ESC Version,1,27,eurovision,1,1,2017-Germany
2017,Spain,Do It for Your Lover - Eurovision 2017,1,33,eurovision,1,1,2017-Spain
2017,North Macedonia,Dance Alone,1,36,eurovision,1,1,2017-North Macedonia
2017,Estonia,Verona,1,0,estonian pop,0,0,2017-Estonia
2017,Netherlands,Lights and Shadows,1,0,dutch pop,0,0,2017-Netherlands
2017,Serbia,In Too Deep,1,31,eurovision,1,1,2017-Serbia
2017,Ireland,Dying To Try,1,0,eurovision,1,1,2017-Ireland
2017,San Marino,Spirit of the Night - Radio Version,1,0,eurovision,1,1,2017-San Marino
2017,Montenegro,Space,2,32,eurovision$$$montenegrin pop,1,0,2017-Montenegro
2017,Switzerland,Apollo - Eurovision Version,1,46,eurovision,1,1,2017-Switzerland
2017,Poland,Flashlight,1,32,eurovision,1,1,2017-Poland
2017,Albania,World,1,0,eurovision,1,1,2017-Albania
2017,Czech Republic,My Turn,1,0,eurovision,1,1,2017-Czech Republic
2017,Croatia,My Friend,1,0,croatian pop,0,0,2017-Croatia
2017,Denmark,Where I Am,1,0,eurovision,1,1,2017-Denmark
2017,Iceland,Paper,2,32,classic icelandic pop$$$icelandic pop,0,0,2017-Iceland
2017,United Kingdom,Never Give up on You,1,0,talent show,0,0,2017-United Kingdom
2017,Finland,Blackbird,1,25,eurovision,1,1,2017-Finland
2017,Latvia,Line,1,31,eurovision,1,1,2017-Latvia
2017,Lithuania,Rain Of Revolution,0,0,,0,0,2017-Lithuania
2017,Georgia,Keep The Faith,1,0,eurovision,1,1,2017-Georgia
2017,Hungary,Origo - Eurovision Version,1,40,hungarian pop,0,0,2017-Hungary
2017,Ukraine,Time,3,30,ukrainian indie$$$ukrainian pop$$$ukrainian rock,0,0,2017-Ukraine
2017,Malta,Breathlessly,1,26,maltese pop,0,0,2017-Malta
2017,Belarus,Historyja Majho žyccia (Eurovision 2017),1,0,belarusian pop,0,0,2017-Belarus
2017,Slovenia,On My Way,1,0,slovenian pop,0,0,2017-Slovenia
2017,Cyrpus,Gravity,2,0,cypriot pop$$$eurovision,1,0,2017-Cyrpus
2018,Israel,Toy - Music Video Version,2,50,eurovision$$$israeli pop,1,0,2018-Israel
2018,Cyprus,Fuego,3,37,eurovision$$$greek pop$$$laiko,1,0,2018-Cyprus
2018,Austria,Nobody But You,1,49,eurovision,1,1,2018-Austria
2018,Germany,You Let Me Walk Alone,3,50,german pop$$$pop$$$viral pop,0,0,2018-Germany
